Marka,Model,KM,Yakit,Yil,Fiyat
toyota,c-hr,30000,benzin,2022,1294950
toyota,rav4,120725,benzin,2007,770000
toyota,corolla,92340,benzin,2011,687000
toyota,corolla,150000,benzin,2013,769000
toyota,corolla,45000,benzin,2020,1010000
toyota,auris,101000,benzin,2013,849900
toyota,corolla,50850,benzin,2019,999900
toyota,corolla,162150,benzin,2014,765000
toyota,corolla,73500,benzin,2021,1050000
toyota,corolla,173267,benzin,2010,642000
toyota,avensis,132000,benzin,2011,615000
toyota,corolla,48000,benzin,2011,675000
toyota,corolla,61000,benzin,2014,865000
toyota,yaris,120533,benzin,2014,604900
toyota,auris,170100,benzin,2011,745000
toyota,avensis,30732,benzin,2012,835000
toyota,rav4,184350,benzin,2012,855000
toyota,corolla,116912,benzin,2012,719900
toyota,corolla,134500,benzin,2015,757000
toyota,corolla,380250,benzin,2008,570000
toyota,corolla,229000,benzin,2009,669000
toyota,land,370000,benzin,2004,1125000
lexus,100,30000,benzin,2020,2630000
lexus,100,30456,benzin,2020,2750000
ford,mondeo,47636,benzin,2019,1065000
audi,a4,221715,benzin,2015,1220000
fiat,egea,78645,benzin,2018,719750
seat,leon,72363,benzin,2020,942000
volkswagen,polo,79000,benzin,2017,813750
hyundai,accent,181000,benzin,2012,607000
hyundai,i20,52000,benzin,2019,754950
nissan,micra,109640,benzin,2017,625000
fiat,egea,91000,benzin,2019,684950
skoda,rapid,92082,benzin,2015,712000
suzuki,vitara,21333,benzin,2018,977000
nissan,qashqai,117699,benzin,2020,1062000
nissan,qashqai,99959,benzin,2020,1062000
nissan,qashqai,143176,benzin,2020,982000
jeep,compass,103321,benzin,2014,875000
chevrolet,aveo,110506,benzin,2010,512000
volkswagen,passat,90940,benzin,2018,1142000
peugeot,208,12000,benzin,2021,898750
seat,ibiza,111688,benzin,2011,726000
kia,picanto,73800,benzin,2011,470000
citroen,c3,20678,benzin,2023,855000
mercedes,glk,126585,benzin,2014,1490000
honda,hr-v,58664,benzin,2020,1145000
suzuki,vitara,154460,benzin,2017,810000
opel,astra,132983,benzin,2012,614900
seat,arona,69652,benzin,2018,865000
opel,insignia,48232,benzin,2017,1255000
opel,astra,58282,benzin,2011,654000
opel,astra,85000,benzin,2020,750000
honda,civic,44632,benzin,2017,1099000
citroen,c3,15936,benzin,2023,855000
volkswagen,golf,8449,benzin,2021,1655000
hyundai,accent,175373,benzin,2009,499000
kia,rio,58000,benzin,2021,819000
citroen,c3,31526,benzin,2022,1054000
hyundai,i20,98753,benzin,2018,814000
opel,corsa,28000,benzin,2018,794000
hyundai,kona,31500,benzin,2020,1050000
opel,corsa,8350,benzin,2022,917000
ford,focus,110154,benzin,2014,744900
renault,clio,43289,benzin,2022,735000
renault,clio,106300,benzin,2017,699750
honda,civic,55000,benzin,2020,1200000
hyundai,i20,48090,benzin,2020,830000
volkswagen,polo,67772,benzin,2016,799750
honda,civic,51086,benzin,2020,1099750
seat,ibiza,48587,benzin,2017,769750
volkswagen,golf,58931,benzin,2015,959000
renault,megane,12896,benzin,2022,975000
opel,insignia,58096,benzin,2013,829900
volvo,v40,118060,benzin,2017,1014900
seat,leon,35300,benzin,2017,935000
bmw,2 series,147000,benzin,2015,968000
opel,astra,96410,benzin,2016,849750
nissan,qashqai,42499,benzin,2018,1000000
citroen,c3,49784,benzin,2021,900000
renault,clio,43700,benzin,2021,790000
fiat,punto,180000,benzin,2011,445000
fiat,500x,83510,benzin,2015,785000
volkswagen,passat,193355,benzin,2013,799000
opel,corsa,89200,benzin,2012,548000
hyundai,kona,32000,benzin,2018,1075000
volkswagen,tiguan,108000,benzin,2015,1080000
honda,jazz,173369,benzin,2009,568000
opel,astra,118250,benzin,2012,698000
renault,megane,6795,benzin,2021,986000
mercedes,c,200000,benzin,2011,879950
nissan,micra,91257,benzin,2013,594000
nissan,qashqai,80745,benzin,2013,789500
peugeot,208,31300,benzin,2021,995000
kia,rio,17469,benzin,2023,870000
volkswagen,passat,149300,benzin,2014,885000
bmw,3 series,72287,benzin,2021,2195000
peugeot,2008,11700,benzin,2016,987000
ford,focus,8902,benzin,2021,1072000
renault,clio,71000,benzin,2021,805000
hyundai,tucson,135000,benzin,2016,1149500
skoda,octavia,96200,benzin,2016,857000
bmw,1 series,74800,benzin,2012,895000
honda,civic,83277,benzin,2019,1189000
nissan,juke,61303,benzin,2015,800000
ford,fiesta,112379,benzin,2014,692000
honda,civic,119121,benzin,2016,918900
honda,civic,110000,benzin,2019,1044950
fiat,egea,66323,benzin,2021,615000
opel,corsa,38300,benzin,2017,729900
citroen,c4 cactus,159322,benzin,2014,679900
opel,corsa,36225,benzin,2022,960000
opel,corsa,41390,benzin,2022,956000
opel,astra,99629,benzin,2020,879000
volkswagen,golf,95688,benzin,2011,669000
renault,captur,64406,benzin,2020,835000
opel,corsa,28307,benzin,2017,658000
renault,clio,53000,benzin,2021,794950
hyundai,elantra,46865,benzin,2020,965000
ford,fiesta,105500,benzin,2011,570000
fiat,egea,29500,benzin,2020,685000
mitsubishi,lancer,101355,benzin,2013,715000
honda,civic,195000,benzin,2013,835000
opel,crossland,32000,benzin,2019,980000
volkswagen,polo,10000,benzin,2021,934950
nissan,qashqai,76000,benzin,2016,959950
hyundai,accent,127000,benzin,2015,699900
renault,megane,16252,benzin,2022,1076000
kia,sportage,75000,benzin,2018,1084950
hyundai,elantra,156000,benzin,2011,624950
hyundai,tucson,34349,benzin,2016,1299000
volkswagen,passat,133387,benzin,2018,1587000
mazda,3,160785,benzin,2011,599900
suzuki,vitara,119000,benzin,2016,945000
honda,civic,142000,benzin,2012,679900
skoda,scala,45531,benzin,2020,1089000
bmw,3 series,146000,benzin,2015,1199900
mitsubishi,sm,301000,benzin,2003,350000
seat,ibiza,66500,benzin,2017,687000
opel,astra,40800,benzin,2020,915000
honda,civic,72392,benzin,2014,875000
jeep,renegade,21720,benzin,2021,1135000
renault,megane,71000,benzin,2021,837750
seat,ibiza,76896,benzin,2012,539900
hyundai,i20,34570,benzin,2020,800000
renault,symbol,103000,benzin,2020,631000
mitsubishi,space,23711,benzin,2020,770000
bmw,2 series,76400,benzin,2021,1690000
mercedes,b,121832,benzin,2013,1047000
suzuki,vitara,64816,benzin,2016,910000
hyundai,i10,81000,benzin,2010,482000
volkswagen,polo,58070,benzin,2017,830000
renault,clio,91400,benzin,2020,685000
opel,crossland,24081,benzin,2022,1079000
citroen,c-elysée,101834,benzin,2019,660000
peugeot,301,99200,benzin,2019,635000
bmw,1 series,126623,benzin,2011,675000
renault,clio,26375,benzin,2022,824000
chevrolet,trax,85000,benzin,2013,667000
nissan,qashqai,152685,benzin,2013,800000
volkswagen,t-roc,21745,benzin,2021,1230000
hyundai,i20,9654,benzin,2022,835000
opel,astra,37000,benzin,2020,927500
opel,mokka,29140,benzin,2022,1385000
volvo,s60,130695,benzin,2017,1205000
volkswagen,polo,44500,benzin,2018,865000
skoda,rapid,74192,benzin,2018,855000
renault,megane,63052,benzin,2021,874900
hyundai,elantra,56162,benzin,2021,995000
opel,corsa,118272,benzin,2016,710000
mazda,3,112718,benzin,2011,699000
audi,a4,98500,benzin,2016,1685000
seat,toledo,178000,benzin,2013,697000
renault,megane,70357,benzin,2020,929900
fiat,egea,52520,benzin,2022,675000
renault,captur,45000,benzin,2021,1169900
mazda,cx-5,100000,benzin,2014,1100000
mercedes,a,54715,benzin,2020,1764000
renault,clio,43000,benzin,2021,827750
volkswagen,passat,17880,benzin,2020,1350000
honda,civic,32847,benzin,2020,1200000
nissan,juke,87213,benzin,2012,749000
seat,ibiza,135503,benzin,2014,650000
nissan,qashqai,103529,benzin,2015,899000
opel,crossland,9306,benzin,2022,1094000
volkswagen,jetta,117563,benzin,2006,565000
opel,crossland,7871,benzin,2022,1096000
dacia,duster,35485,benzin,2022,1049750
citroen,c3,13170,benzin,2020,1049750
opel,mokka,30301,benzin,2022,1332000
bmw,x3,250000,benzin,2016,1375000
dacia,duster,71256,benzin,2019,809000
mercedes,a,11291,benzin,2022,1715000
fiat,500,69000,benzin,2014,618750
volkswagen,tiguan,140000,benzin,2012,769750
opel,astra,63234,benzin,2015,780000
citroen,c-elysée,62975,benzin,2019,615000
opel,astra,70962,benzin,2012,743900
renault,clio,44052,benzin,2020,700000
renault,megane,22818,benzin,2022,999000
bmw,5 series,77950,benzin,2021,3120000
seat,ibiza,71486,benzin,2016,740000
opel,corsa,65184,benzin,2014,650000
nissan,juke,89505,benzin,2013,865000
dacia,sandero,126317,benzin,2019,626000
peugeot,301,104946,benzin,2019,620000
nissan,micra,47684,benzin,2017,765000
citroen,c-elysée,96920,benzin,2019,660000
hyundai,elantra,42477,benzin,2017,835000
renault,megane,30193,benzin,2022,999000
kia,stonic,15000,benzin,2022,929900
renault,megane,26622,benzin,2022,995000
peugeot,301,121152,benzin,2019,620000
dacia,sandero,35426,benzin,2021,870000
renault,clio,32410,benzin,2020,861900
renault,symbol,85498,benzin,2020,649000
peugeot,301,120267,benzin,2019,597000
dacia,duster,16537,benzin,2022,990000
ford,focus,42403,benzin,2020,976900
skoda,rapid,114547,benzin,2016,840000
nissan,juke,86208,benzin,2014,754000
ford,puma,69734,benzin,2020,1206900
hyundai,i20,33241,benzin,2022,897000
peugeot,308,88950,benzin,2012,779900
renault,megane,8700,benzin,2021,995000
renault,clio,39646,benzin,2020,926000
renault,clio,34762,benzin,2022,755000
dacia,sandero,12807,benzin,2022,784000
ford,focus,14631,benzin,2021,1019000
ford,focus,62219,benzin,2017,849000
ford,focus,11000,benzin,2020,890000
honda,jazz,80000,benzin,2011,749750
renault,symbol,169000,benzin,2006,359900
opel,mokka,71134,benzin,2016,865000
ford,fiesta,76236,benzin,2013,600000
renault,megane,67000,benzin,2019,880000
fiat,egea,62200,benzin,2020,620000
dacia,duster,135200,benzin,2020,740000
dacia,duster,37577,benzin,2022,950000
dacia,duster,40812,benzin,2022,950000
peugeot,208,13000,benzin,2019,869750
volkswagen,polo,107400,benzin,2017,725000
volkswagen,polo,114790,benzin,2017,745000
opel,astra,74079,benzin,2020,781000
opel,corsa,129063,benzin,2016,625000
dacia,sandero,28529,benzin,2022,790000
land rover,freelander,191000,benzin,2013,950000
volkswagen,polo,72640,benzin,2018,795000
ford,focus,89779,benzin,2017,955000
toyota,auris,54401,dizel,2011,669750
toyota,corolla,154903,dizel,2017,779750
toyota,auris,116893,dizel,2014,689750
toyota,proace,9004,dizel,2022,921000
toyota,corolla,127873,dizel,2016,732000
toyota,hilux,59167,dizel,2021,1362000
toyota,proace,7006,dizel,2022,922000
toyota,proace,11089,dizel,2022,917000
toyota,proace,7884,dizel,2023,969000
toyota,hilux,11500,dizel,2023,1599000
toyota,hilux,166538,dizel,2019,1030000
toyota,hilux,41000,dizel,2021,1399990
toyota,proace,9500,dizel,2021,930000
toyota,corolla,157000,dizel,2016,769000
toyota,auris,81311,dizel,2014,869000
toyota,auris,125560,dizel,2014,675000
toyota,corolla,81998,dizel,2016,989750
toyota,hilux,97000,dizel,2018,1199750
toyota,corolla,108780,dizel,2017,895750
toyota,land,32825,dizel,2019,5350000
toyota,corolla,132946,dizel,2016,780000
toyota,hilux,6001,dizel,2022,1690000
toyota,corolla,68000,dizel,2016,813750
toyota,corolla,81182,dizel,2014,690000
toyota,corolla,69000,dizel,2016,778750
