,Il,Ilce,Mahalle,Konut Tipi,Oda Sayisi,Bulundugu Kat,Metrekare,Fiyat
1921,İstanbul,Avcılar,Tahtakale Mh.,Daire,3+1,3,168,6550000
1922,Antalya,Alanya,Avsallar Mh.,Villa,3+1,Düz Giriş ,220,20175000
1923,İstanbul,Ataşehir,Ferhatpaşa Mh.,Bina,1,,402,18500000
1924,Antalya,Alanya,Mahmutlar Mh.,Residence,2+1,Çatı Dubleks,135,4350000
1925,İzmir,Bornova,Yıldırım Beyazıt Mh.,Müstakil Ev,5+3,,300,7000000
1926,Tekirdağ,Marmaraereğlisi,Yeniçiftlik Mh.,Villa,4+1,,250,6000000
1927,Muğla,Köyceğiz,Beyobası Mh.,Villa,3+1,,190,8550000
1928,Yozgat,Sorgun,Doğankent Bld. (Aksaray Mh.),Müstakil Ev,3+1,,140,2350000
1929,Ankara,Mamak,Lalahan Mh.,Villa,1+1,,600,3700000
1930,Ankara,Sincan,Yenihisar Mh.,Müstakil Ev,5+1,Düz Giriş ,320,7500000
1931,Muğla,Datça,Mesudiye Mh.,Villa,4+1,,200,13750000
1932,İstanbul,Sultangazi,50. Yıl Mh.,Bina,2+1,,135,9850000
1933,İstanbul,Beylikdüzü,Yakuplu Mh.,Daire,2+1,2,110,2600000
1934,Antalya,Döşemealtı,Tomalar Mh.,Müstakil Ev,3+1,Bahçe Dublex,380,8000000
1935,Ankara,Etimesgut,Güzelkent Mh.,Daire,3+1,1,125,2600000
1936,İstanbul,Başakşehir,Altınşehir Mh.,Daire,2+1,Yüksek Giriş,85,1595000
1937,İzmir,Menderes,Çileme Mh.,Müstakil Ev,2+1,,2125,2850000
1938,Trabzon,Ortahisar,Çukurçayır Mh.,Villa,5+2,,600,14000000
1939,Antalya,Döşemealtı,Yeşilbayır Mh.,Villa,6+2,,500,22900000
1940,Balıkesir,Edremit,Güre Mh.,Daire,2+1,1,90,2450000
1941,Tekirdağ,Çerkezköy,Fatih Mh.,Daire,2+1,Yüksek Giriş,85,1585000
1942,Kayseri,Kocasinan,Barsama Mh.,Villa,3+0,,360,4250000
1943,İstanbul,Büyükçekmece,Sinanoba Mh.,Daire,3+1,7,135,4000000
1944,İstanbul,Sultanbeyli,Mehmet Akif Mh.,Bina,3+1,,257,10500000
1945,Antalya,Alanya,Türkler Mh.,Villa,5+2,,200,20300000
1946,Ankara,Yenimahalle,Susuz Mh.,Daire,4+1,1,200,5200000
1947,Aydın,Didim,Efeler Mh.,Daire,2+1,3,100,2500000
1948,İstanbul,Üsküdar,Kısıklı Mh.,Bina,1,,600,23000000
1949,Trabzon,Ortahisar,Ağıllı Mh.,Bina,1+1,,170,5490000
1950,İstanbul,Pendik,Güzelyalı Mh.,Bina,1,,1770,39000000
1951,Ankara,Polatlı,Karahamzalı Mh.,Çiftlik Evi,2+1,1,1600,2200000
1952,Antalya,Alanya,İncekum Mh.,Villa,4+1,1,350,14500000
1953,İstanbul,Sancaktepe,Atatürk Mh.,Daire,4+1,Yüksek Giriş,200,2750000
1954,Sakarya,Karasu,Yalı Mh.,Villa,2+1,,200,2340000
1955,Trabzon,Araklı,Hürriyet Mh.,Müstakil,6+2,,600,37500000
1956,İstanbul,Pendik,Yenişehir Mh.,Villa,4+1,,240,12500000
1957,İzmir,Çeşme,Reisdere Mh.,Daire,2+1,2,110,7500000
1958,İstanbul,Kadıköy,Fenerbahçe Mh.,Daire,3+1,5,160,17000000
1959,İstanbul,Fatih,Muhsine Hatun Mh.,Bina,9+,,330,14950000
1960,İstanbul,Bahçelievler,Siyavuşpaşa Mh.,Daire,4+1,Çatı Dubleks,190,4600000
1961,Ankara,Çankaya,Mutlukent Mh.,Villa,5+2,,580,25750000
1962,Ankara,Altındağ,Karapürçek Mh.,Daire,3+1,3,135,1650000
1963,Antalya,Serik,Belek Mh.,Villa,5+1,,290,21000000
1964,Antalya,Manavgat,Düzağaç Mh.,Müstakil Ev,2+1,,75,930000
1965,İzmir,Seferihisar,Tepecik Mh.,Villa,3+1,,140,6660000
1966,İzmir,Dikili,Salihler Mh.,Villa,5+1,,200,5950000
1967,Konya,Selçuklu,Sille Ak Mh.,Villa,4+1,Düz Giriş ,350,8500000
1968,Ankara,Pursaklar,Yunus Emre Mh.,Villa,3+2,,250,8900000
1969,İzmir,Çeşme,Yalı Mh.,Müstakil Ev,3+1,,309,9500000
1970,İstanbul,Sarıyer,Uskumruköy Mh.,Müstakil Ev,6+3,,360,38000000
1971,İzmir,Tire,Derebaşı Mh.,Müstakil Ev,2+1,,256,400000
1972,İzmir,Menemen,Irmak Mh.,Müstakil Ev,3+1,,220,4100000
1973,İzmir,Çeşme,Şifne Mh.,Villa,3+1,,110,17500000
1974,İstanbul,Sarıyer,Ayazağa Mh.,Residence,1+1,9,102,9700000
1975,Konya,Selçuklu,Aydınlıkevler Mh.,Müstakil Ev,4+0,,250,3300000
1976,İzmir,Karşıyaka,Şemikler Mh.,Daire,2+1,5,110,2950000
1977,İzmir,Menderes,Çukuraltı Mh.,Villa,3+1,,200,7590000
1978,Ankara,Gölbaşı,Hacıhasan Mh.,Villa,7+2,,1000,7200000
1979,Antalya,Alanya,Mahmutlar Mh.,Residence,2+1,2,160,4150000
1980,İzmir,Menemen,Cumhuriyet Mh.,Daire,2+1,6,85,2425000
1981,Ankara,Gölbaşı,Ahiboz Mh.,Villa,5+1,,370,8500000
1982,İzmir,Konak,Güzelyalı Mh.,Daire,3+1,3,140,5500000
1983,İstanbul,Esenyurt,İstiklal Mh.,Daire,2+1,1,120,1765000
1984,Antalya,Döşemealtı,Altınkale Mh.,Villa,5+1,,300,16000000
1985,Antalya,Muratpaşa,Güzeloba Mh.,Villa,4+1,,350,33360000
1986,Ankara,Sincan,Malazgirt Mh.,Daire,3+1,2,125,1850000
1987,İstanbul,Şişli,İnönü Mh.,Bina,1,,350,11000000
1988,İstanbul,Kartal,Kordonboyu Mh.,Daire,3+1,4,180,13500000
1989,Aydın,Nazilli,Cumhuriyet Mh.,Villa,3+1,,240,3500000
1990,İzmir,Menemen,Yeşil Pınar Mh.,Daire,2+1,2,95,1300000
1991,İstanbul,Esenyurt,Akevler Mh.,Daire,1+1,21,75,1422000
1992,İstanbul,Avcılar,Cihangir Mh.,Daire,2+1,5,110,1220000
1993,İzmir,Konak,Kılıç Reis Mh.,Daire,2+1,1,85,1750000
1994,İstanbul,Maltepe,Zümrütevler Mh.,Daire,3+1,12,144,7500000
1995,Ankara,Sincan,Selçuklu Mh.,Daire,3+1,2,155,2575000
1996,İstanbul,Kağıthane,Emniyet Evleri Mh.,Residence,4+1,40+,500,62500000
1997,Ankara,Mamak,Durali Alıç Mh.,Daire,4+1,4,225,2700000
1998,İstanbul,Bahçelievler,Bahçelievler Mh.,Daire,2+1,Düz Giriş,85,3850000
1999,İstanbul,Bayrampaşa,İsmet Paşa Mh.,Daire,1+1,5,60,3250000
2000,İstanbul,Büyükçekmece,Alkent 2000 Mh.,Villa,7+1,,650,69000000
2001,İzmir,Bornova,İnönü Mh.,Daire,2+1,3,67,2150000
2002,Antalya,Döşemealtı,Yeşilbayır Mh.,Villa,5+1,,400,27750000
2003,İstanbul,Üsküdar,Güzeltepe Mh.,Bina,1,,1000,248000000
2004,Adana,Sarıçam,Sofudede Mh.,Müstakil Ev,3+1,,323,3000000
2005,Antalya,Manavgat,Side Mh.,Villa,5+1,,240,13000000
2006,İstanbul,Sarıyer,Huzur Mh.,Residence,2+1,29,170,18000000
2007,İzmir,Konak,Umurbey Mh.,Bina,1,,200,16000000
2008,Ankara,Çankaya,Alacaatlı Mh.,Daire,1+1,20,200,3999000
2009,Konya,Selçuklu,Buhara Mh.,Villa,5+1,,340,11500000
2010,Aydın,Didim,Akbük Mh.,Villa,4+1,,200,8725000
2011,İstanbul,Büyükçekmece,Pınartepe Mh.,Daire,2+1,3,165,4500000
2012,Ankara,Yenimahalle,Ergazi Mh.,Residence,1+1,2,60,1950000
2013,Antalya,Elmalı,Tahtamescit Mh.,Müstakil Ev,3+1,,138,3270000
2014,Muğla,Marmaris,İçmeler Mh.,Müstakil Ev,2+2,,360,21250000
2015,Ankara,Keçiören,Sancaktepe Mh.,Daire,3+1,2,160,2219000
2016,İstanbul,Esenyurt,Cumhuriyet Mh.,Daire,2+1,7,120,1750000
2017,İzmir,Gaziemir,Binbaşı Reşatbey Mh.,Müstakil Ev,2+1,,220,6485000
2018,Ankara,Pursaklar,Fatih Mh.,Daire,3+1,4,125,2095000
2019,İzmir,Konak,Çankaya Mh.,Daire,2+1,2,95,1990000
2020,Antalya,Kemer,Arslanbucak Mh.,Villa,3+1,,200,10500000
2021,İzmir,Dikili,Gazipaşa Mh.,Villa,5+1,,155,7850000
2022,Ankara,Keçiören,Ayvalı Mh.,Daire,3+1,-2,125,1180000
2023,İzmir,Urla,İçmeler Mh.,Villa,3+1,,170,14900000
2024,İstanbul,Başakşehir,Altınşehir Mh.,Daire,3+1,1,130,3000000
2025,Antalya,Döşemealtı,Altınkale Mh.,Villa,7+1,,500,15999000
2026,İstanbul,Beylikdüzü,Sahil Mh.,Daire,2+1,Düz Giriş,60,3000000
2027,İstanbul,Küçükçekmece,Mehmet Akif Mh.,Bina,1,,450,10000000
2028,Antalya,Alanya,Avsallar Mh.,Villa,4+1,,200,20300000
2029,İzmir,Çeşme,Yalı Mh.,Müstakil,4+1,,201,14500000
2030,İstanbul,Esenler,Fevzi Çakmak Mh.,Daire,2+1,4,120,2600000
2031,Antalya,Serik,Belek Mh.,Villa,2+1,,380,10200000
2032,İzmir,Urla,Denizli Mh.,Villa,8+2,,450,24850000
2033,İstanbul,Beylikdüzü,Cumhuriyet Mh.,Daire,1+1,3,100,1475000
2034,Antalya,Döşemealtı,Yeşilbayır Mh.,Prefabrik,2+1,,41,400000
2035,İzmir,Torbalı,Yedi Eylül Mh.,Daire,1+1,2,55,1850000
2036,İzmir,Karabağlar,Esenyalı Mh.,Daire,3+1,1,125,3150000
2037,Antalya,Gazipaşa,Koru Mh.,Villa,4+1,,160,8500000
2038,Balıkesir,Edremit,Akçay Mh.,Daire,1+1,1,70,2150000
2039,İzmir,Dikili,Çandarlı Mh.,Villa,4+1,,240,7500000
2040,Antalya,Alanya,Güzelbağ Mh.,Köşk,6+2,,715,25000000
2041,İstanbul,Beylikdüzü,Cumhuriyet Mh.,Daire,2+1,10,110,1775000
2042,Ankara,Etimesgut,Yavuz Selim Mh.,Villa,5+1,Düz Giriş ,275,7575000
2043,Ankara,Etimesgut,Ahi Mesut Mh.,Daire,3+1,4,165,4125000
2044,Antalya,Alanya,Kargıcak Mh.,Villa,4+1,,336,19315000
2045,İzmir,Urla,Balıklıova Mh.,Daire,3+1,Bahçe Dublex,120,6350000
2046,Ankara,Etimesgut,Süvari Mh.,Daire,4+1,5,260,3890000
2047,İstanbul,Silivri,Mimar Sinan Mh.,Villa,8+1,,350,25000000
2048,Antalya,Serik,Kadriye Mh.,Müstakil,5+3,,350,11500000
2049,Ankara,Etimesgut,Elvan Mh.,Daire,3+1,3,115,2400000
2050,İstanbul,Beyoğlu,Şehit Muhtar Mh.,Residence,1+1,11,75,13000000
2051,Ankara,Sincan,Gazi Mh.,Villa,2+1,Düz Giriş ,105,3500000
2052,İstanbul,Bayrampaşa,Altıntepsi Mh.,Daire,5+1,Çatı Dubleks,210,5850000
2053,İstanbul,Silivri,Selimpaşa Mh.,Villa,4+1,,450,13000000
2054,Kayseri,Melikgazi,Kıranardı Mh.,Villa,4+1,,2071,9300000
2055,Antalya,Döşemealtı,Düzlerçamı Mh.,Villa,4+1,Bahçe Dublex,250,11500000
2056,Ankara,Etimesgut,Yavuz Selim Mh.,Villa,5+1,,300,8990000
2057,İzmir,Karşıyaka,Donanmacı Mh.,Daire,2+1,1,110,2700000
2058,Ankara,Keçiören,Atapark Mh.,Daire,3+1,1,150,2900000
2059,İzmir,Bornova,Yeşilova Mh.,Bina,1,,660,22250000
2060,İstanbul,Kadıköy,Caddebostan Mh.,Daire,4+1,7,170,21950000
2061,İzmir,Urla,Özbek Mh.,Müstakil Ev,4+1,,375,9400000
2062,İzmir,Çiğli,Ataşehir Mh.,Daire,3+1,5,1255,10000000
2063,İzmir,Gaziemir,Fatih Mh.,Daire,3+1,2,112,6000000
2064,İstanbul,Silivri,Selimpaşa Mh.,Villa,3+1,,500,12000000
2065,İstanbul,Küçükçekmece,Tevfik Bey Mh.,Daire,2+1,Yüksek Giriş,90,1565000
2066,İstanbul,Silivri,Mimar Sinan Mh.,Villa,3+1,,300,13500000
2067,İstanbul,Beylikdüzü,Dereağzı Mh.,Villa,5+2,,350,13000000
2068,Ankara,Gölbaşı,Akörençarşak Mh.,Müstakil,2+1,,250,12500000
2069,Ankara,Mamak,Karşıyaka Mh.,Villa,4+1,,410,7500000
2070,İzmir,Dikili,Çandarlı Mh.,Villa,4+1,,160,8500000
2071,İzmir,Konak,Kılıç Reis Mh.,Daire,3+1,2,110,1850000
2072,İzmir,Urla,Yeni Mh.,Villa,2+1,,134,6900000
2073,İzmir,Karşıyaka,Bahriye Üçok Mh.,Daire,2+1,3,90,5195000
2074,Manisa,Salihli,Sağlık Mh.,Daire,3+1,4,135,2650000
2075,Balıkesir,Edremit,Akçay Mh.,Daire,2+1,3,110,2450000
2076,Antalya,Manavgat,Side Mh.,Villa,6+1,,300,19950000
2077,İzmir,Güzelbahçe,Çamlı Mh.,Villa,4+1,,280,26500000
2078,Konya,Ereğli,Aydınlar Mh.,Daire,3+1,3,165,2400000
2079,Ankara,Mamak,Şahintepe Mh.,Daire,2+1,-1,100,1299000
2080,Antalya,Alanya,Kargıcak Mh.,Villa,1+1,Düz Giriş,90,3750000
2081,İzmir,Seferihisar,Payamlı Mh.,Villa,3+1,,120,5600000
2082,Antalya,Alanya,Kestel Mh.,Residence,1+1,3,60,3335000
2083,İstanbul,Küçükçekmece,Söğütlü Çeşme Mh.,Daire,2+1,Yüksek Giriş,90,1770000
2084,İzmir,Dikili,Gazipaşa Mh.,Daire,1+1,Düz Giriş,80,2400000
2085,İstanbul,Büyükçekmece,Pınartepe Mh.,Daire,2+1,2,90,3250000
2086,Antalya,Aksu,Altıntaş Mh.,Villa,3+1,,200,16500000
2087,Tekirdağ,Marmaraereğlisi,Yeniçiftlik Mh.,Villa,2+1,,180,2540000
2088,İzmir,Seferihisar,Payamlı Mh.,Villa,4+1,,150,6500000
2089,İstanbul,Silivri,Cumhuriyet Mh.,Villa,7+3,,280,10500000
2090,İstanbul,Sarıyer,Uskumruköy Mh.,Villa,6+2,,620,61875000
2091,Trabzon,Ortahisar,Akyazı Mh.,Bina,2+1,,708,10700000
2092,Konya,Selçuklu,Selçuk Mh.,Villa,3+1,,600,6750000
2093,Denizli,Merkezefendi,Mehmet Akif Ersoy Mh.,Daire,2+1,3,120,1500000
2094,İzmir,Balçova,Onur Mh.,Daire,3+1,8,180,8000000
2095,İzmir,Seferihisar,Turabiye Mh.,Daire,3+1,4,150,2600000
2096,İstanbul,Avcılar,Cihangir Mh.,Daire,2+1,Düz Giriş,85,2150000
2097,İzmir,Karabağlar,General Kazım Özalp Mh.,Daire,2+1,Yüksek Giriş,80,2000000
2098,Ankara,Etimesgut,Yeni Bağlıca Mh.,Villa,6+1,,337,15000000
2099,Sivas,Sivas Merkez,Kızılırmak Mh.,Daire,3+1,4,130,3385000
2100,İzmir,Kemalpaşa,Mehmet Akif Ersoy Mh.,Villa,5+1,,3360,10500000
2101,İzmir,Menemen,Irmak Mh.,Daire,3+1,3,140,2800000
2102,İzmir,Torbalı,Torbalı Mh.,Daire,3+1,8,125,1800000
2103,İstanbul,Kadıköy,Suadiye Mh.,Daire,3+1,6,130,9350000
2104,Tekirdağ,Süleymanpaşa,Namık Kemal Mh.,Villa,4+2,,225,23000000
2105,İstanbul,Çekmeköy,Taşdelen Mh.,Daire,2+1,Yüksek Giriş,90,2450000
2106,Antalya,Korkuteli,Kargalık Mh.,Villa,3+1,,200,4750000
2107,İzmir,Karabağlar,Basın Sitesi Mh.,Daire,5+1,4,300,9900000
2108,İzmir,Menemen,Ulus Mh.,Daire,1+1,2,50,1530000
2109,Denizli,Merkezefendi,İlbade Mh.,Daire,2+1,2,120,1650000
2110,İstanbul,Sarıyer,Baltalimanı Mh.,Müstakil Ev,9+,,1000,20000000
2111,Antalya,Alanya,Saray Mh.,Daire,1+1,Düz Giriş,70,2450000
2112,Kırklareli,Vize,Devlet Mh.,Daire,3+1,Düz Giriş,120,1250000
2113,İzmir,Buca,Ufuk Mh.,Bina,1,,103,4000000
2114,İstanbul,Esenyurt,Zafer Mh.,Residence,1+1,1,100,1989000
2115,İstanbul,Beylikdüzü,Cumhuriyet Mh.,Daire,1+1,2,90,1239000
2116,Ankara,Pursaklar,Merkez Mh.,Daire,5+1,Bahçe Dublex,290,5450000
2117,İstanbul,Beşiktaş,Cihannüma Mh.,Daire,4+1,2,130,13500000
2118,İstanbul,Sarıyer,Ayazağa Mh.,Residence,2+1,8,145,18500000
2119,Aydın,Nazilli,İsabeyli Mh.,Villa,6+1,,320,8600000
2120,İstanbul,Avcılar,Ambarlı Mh.,Daire,3+1,2,144,1360000
2121,Sivas,Sivas Merkez,Gökmedrese Mh.,Daire,3+1,1,142,2200000
2122,İzmir,Kemalpaşa,Yukarıkızılca Merkez Mh.,Villa,3+1,,120,8300000
2123,Ankara,Polatlı,Zafer Mh.,Daire,2+1,Düz Giriş,115,890000
2124,Antalya,Döşemealtı,Nebiler Mh.,Villa,3+1,,245,9950000
2125,İstanbul,Ümraniye,Mehmet Akif Mh.,Daire,3+1,3,130,5000000
2126,İzmir,Konak,Piri Reis Mh.,Daire,3+1,5,125,3850000
2127,Balıkesir,Edremit,Akçay Mh.,Daire,2+1,2,105,1897000
2128,Antalya,Muratpaşa,Ermenek Mh.,Villa,7+2,Düz Giriş ,400,29000000
2129,İstanbul,Kartal,Hürriyet Mh.,Daire,2+1,13,135,6250000
2130,İstanbul,Sarıyer,Zekeriyaköy Mh.,Villa,6+1,,500,26500000
2131,İstanbul,Pendik,Yenişehir Mh.,Villa,5+2,,290,16950000
2132,Bursa,Mudanya,Yeni Mh.,Daire,3+1,4,160,3950000
2133,İstanbul,Pendik,Esenyalı Mh.,Bina,5+3,,157,5600000
2134,İstanbul,Bahçelievler,Hürriyet Mh.,Daire,3+1,1,140,2160000
2135,İstanbul,Fatih,Muhsine Hatun Mh.,Bina,1,,330,14950000
2136,Konya,Selçuklu,Kosova Mh.,Villa,4+1,,150,3250000
2137,Ankara,Sincan,Atatürk Mh.,Daire,3+1,2,135,1679000
2138,İstanbul,Gaziosmanpaşa,Karadeniz Mh.,Daire,3+1,Yüksek Giriş,140,4750000
2139,Antalya,Kemer,Çamyuva Mh.,Villa,4+1,Düz Giriş ,150,14000000
2140,Ankara,Yenimahalle,Mehmet Akif Ersoy Mh.,Residence,1+1,7,62,3345000
2141,İzmir,Bornova,Yeşilova Mh.,Daire,1+1,29,60,2450000
2142,İstanbul,Esenyurt,Yenikent Mh.,Daire,2+1,2,115,1490000
2143,Aydın,Kuşadası,Soğucak Mh.,Villa,4+1,,300,8950000
2144,Ankara,Gölbaşı,İncek Mh.,Müstakil,5+1,,220,7000000
2145,İzmir,Menderes,Özdere Cumhuriyet Mh.,Villa,3+1,,160,7500000
2146,Ankara,Çankaya,Yaşamkent Mh.,Villa,5+1,,320,13875000
2147,İzmir,Seferihisar,Payamlı Mh.,Villa,3+1,,150,6950000
2148,Denizli,Merkezefendi,Gümüşçay Mh.,Daire,3+1,2,160,2450000
2149,Ankara,Çubuk,Ağılcık Mh.,Müstakil Ev,1+1,,80,1250000
2150,Ankara,Mamak,Yeni Bayındır Mh.,Daire,2+1,Düz Giriş,100,1450000
2151,İzmir,Menderes,Gümüldür Fevzi Çakmak Mh.,Villa,7+2,,300,35000000
2152,Ankara,Etimesgut,Yeni Bağlıca Mh.,Villa,6+1,,600,12500000
2153,Trabzon,Ortahisar,Çukurçayır Mh.,Residence,1+1,7,58,2950000
2154,İzmir,Karabağlar,Yurdoğlu Mh.,Bina,2+1,,278,2930000
2155,Ankara,Altındağ,Karapürçek Mh.,Daire,3+1,Düz Giriş,140,1449000
2156,İzmir,Karabağlar,Bozyaka Mh.,Bina,1+1,,70,2250000
2157,Trabzon,Akçaabat,Yaylacık Mh.,Bina,3+1,,130,10400000
2158,Aydın,Kuşadası,Karaova Mh.,Villa,4+1,,290,17500000
2159,Ankara,Akyurt,Samut Mh.,Villa,3+1,,200,7000000
2160,İstanbul,Silivri,Selimpaşa Mh.,Villa,5+2,,315,10000000
2161,İzmir,Konak,Kahraman Mescit Mh.,Bina,1,,80,1300000
2162,Ankara,Yenimahalle,İlkyerleşim Mh.,Müstakil,3+1,,160,2680000
2163,Antalya,Konyaaltı,Hurma Mh.,Residence,1+1,Düz Giriş,60,3400000
2164,Balıkesir,Edremit,Akçay Mh.,Daire,2+1,1,120,2250000
2165,Ankara,Keçiören,Yayla Mh.,Daire,3+1,2,130,2475000
2166,İstanbul,Bahçelievler,Zafer Mh.,Daire,2+1,2,75,2070000
2167,İstanbul,Maltepe,Çınar Mh.,Daire,2+1,Düz Giriş,85,4375000
2168,Antalya,Serik,Belek Mh.,Villa,3+2,,265,13500000
2169,İstanbul,Silivri,Ortaköy Mh.,Villa,4+1,,500,16000000
2170,İzmir,Foça,Fatih Mh.,Yazlık,2+1,Düz Giriş,110,10000000
2171,Antalya,Kumluca,Mavikent Mh.,Villa,6+1,,295,9000000
2172,İzmir,Konak,Murat Reis Mh.,Daire,1+1,2,65,1775000
2173,Aydın,Didim,Yeni Mh.,Yazlık,2+1,1,100,2850000
2174,Ankara,Mamak,Küçük Kayaş Mh.,Daire,5+1,Çatı Dubleks,220,2750000
2175,İstanbul,Esenyurt,Güzelyurt Mh.,Daire,3+1,2,140,1400000
2176,Antalya,Serik,Kadriye Mh.,Villa,4+2,,195,9000000
2177,Kayseri,Kocasinan,Şeker Mh.,Müstakil Ev,3+1,,900,4650000
2178,İstanbul,Küçükçekmece,Yeşilova Mh.,Daire,4+1,Çatı Dubleks,200,7100000
2179,Antalya,Serik,Kadriye Mh.,Bina,3+1,,614,16500000
2180,Antalya,Döşemealtı,Yeniköy Mh.,Villa,6+1,,320,8500000
2181,İstanbul,Beylikdüzü,Kavaklı Mh.,Daire,2+1,1,95,2999000
2182,İstanbul,Çekmeköy,Ömerli Mh.,Villa,4+2,,225,38950000
2183,İzmir,Seferihisar,Çolak İbrahim Bey Mh.,Daire,2+1,4,80,2750000
2184,Ankara,Sincan,Andiçen Mh.,Daire,2+1,Yüksek Giriş,95,999000
2185,Antalya,Konyaaltı,Uncalı Mh.,Villa,5+1,,300,14000000
2186,Ankara,Mamak,Bahçeleriçi Mh.,Daire,3+1,1,125,1950000
2187,İstanbul,Beykoz,Riva Mh.,Villa,5+1,,350,17000000
2188,Muğla,Bodrum,Gündoğan Mh.,Villa,3+1,,260,50125000
2189,İstanbul,Sultangazi,Sultançiftliği Mh.,Daire,2+1,Düz Giriş,95,1800000
2190,İzmir,Çiğli,Sasallı Merkez Mh.,Villa,5+1,,400,29900000
2191,İzmir,Torbalı,Muratbey Mh.,Daire,3+1,-2,155,4000000
2192,İzmir,Karabağlar,Yurdoğlu Mh.,Daire,3+1,1,135,3950000
2193,Aydın,Kuşadası,Yavansu Mh.,Villa,4+1,,250,9450000
2194,İzmir,Menemen,Fatih Mh.,Müstakil Ev,2+1,,316,1900000
2195,Ankara,Mamak,Çağlayan Mh.,Daire,3+1,3,135,3250000
2196,Ankara,Pursaklar,Mimar Sinan Mh.,Daire,4+1,1,170,4650000
2197,Ankara,Sincan,Akşemsettin Mh.,Daire,3+1,2,120,1980000
2198,İstanbul,Sarıyer,Zekeriyaköy Mh.,Villa,3+1,,210,15300000
2199,İzmir,Çiğli,Cumhuriyet Mh.,Daire,1+1,3,55,1700000
2200,Ankara,Sincan,Saraycık Mh.,Daire,4+1,1,170,3149000
2201,İzmir,Çeşme,Şifne Mh.,Villa,3+1,,165,10900000
2202,Konya,Selçuklu,Erenköy Mh.,Müstakil,6+2,,520,8600000
2203,Ankara,Etimesgut,30 Ağustos Mh.,Daire,3+1,2,125,2349000
2204,İzmir,Torbalı,Fevzi Çakmak Mh.,Villa,4+1,,165,5650000
2205,Antalya,Konyaaltı,Molla Yusuf Mh.,Villa,6+1,,385,17000000
2206,İstanbul,Büyükçekmece,Kumburgaz Mh.,Daire,3+1,1,145,2949999
2207,Ankara,Gölbaşı,Yavrucuk Mh.,Villa,2+1,,135,4950000
2208,Mersin,Erdemli,Çeşmeli Mh.,Daire,1+1,1,85,1950000
2209,İstanbul,Beyoğlu,Keçeci Piri Mh.,Daire,2+1,Düz Giriş,100,1600000
2210,İzmir,Çiğli,Yeni Mahalle Mh.,Daire,2+1,Yüksek Giriş,65,2145000
2211,Ankara,Polatlı,Şehitlik Mh.,Müstakil Ev,5+1,,250,2750000
2212,İstanbul,Bahçelievler,Yenibosna Merkez Mh.,Daire,2+1,3,85,2430000
2213,İstanbul,Beylikdüzü,Adnan Kahveci Mh.,Daire,2+1,2,130,2249999
2214,İstanbul,Sarıyer,Bahçeköy Merkez Mh.,Villa,5+2,,1500,184000000
2215,Antalya,Kepez,Odabaşı Mh.,Villa,4+1,,320,15400000
2216,İstanbul,Maltepe,Feyzullah Mh.,Daire,3+1,Yüksek Giriş,119,5350000
2217,İstanbul,Beylikdüzü,Adnan Kahveci Mh.,Villa,7+2,,650,25199000
2218,Ankara,Sincan,Mustafa Kemal Mh.,Daire,4+1,3,170,2479000
2219,Ankara,Keçiören,Etlik Mh.,Daire,4+1,6,165,3990000
2220,Ankara,Çankaya,Yaşamkent Mh.,Villa,9+,,800,26000000
2221,Ankara,Pursaklar,Yunus Emre Mh.,Daire,3+1,3,135,1835000
2222,Ankara,Keçiören,Ayvalı Mh.,Daire,3+1,5,140,3099000
2223,İstanbul,Bahçelievler,Çobançeşme Mh.,Daire,2+1,2,90,1600000
2224,İzmir,Bornova,Evka 4 Mh.,Daire,1+1,2,58,1675000
2225,İstanbul,Kağıthane,Ortabayır Mh.,Bina,1,,70,5750000
2226,Ankara,Keçiören,23 Nisan Mh.,Daire,2+1,-1,115,1250000
2227,Ankara,Pursaklar,Fatih Mh.,Daire,3+1,2,160,3200000
2228,İzmir,Menemen,Mermerli Mh.,Daire,3+1,3,110,1650000
2229,İzmir,Torbalı,Yedi Eylül Mh.,Daire,2+1,3,110,2400000
2230,İzmir,Balçova,Teleferik Mh.,Bina,1,,450,19750000
2231,İzmir,Buca,Kuruçeşme Mh.,Daire,1+1,3,65,1850000
2232,İzmir,Tire,Cumhuriyet Mh.,Daire,2+1,3,110,1650000
2233,İzmir,Foça,Fatih Mh.,Yazlık,2+1,Bahçe Dublex,110,10000000
2234,Antalya,Alanya,Tepe Mh.,Villa,4+1,,500,10000000
2235,Ankara,Mamak,Kıbrısköy Mh.,Villa,6+1,,300,4250000
2236,İzmir,Bornova,Yeşilova Mh.,Müstakil Ev,5+2,,251,13500000
2237,İstanbul,Beykoz,Kavacık Mh.,Müstakil Ev,2+1,,310,6700000
2238,Ankara,Çankaya,Gaziosmanpaşa Mh.,Daire,9+,4,700,30000000
2239,İzmir,Bayraklı,Gümüşpala Mh.,Daire,2+1,1,85,2150000
2240,Konya,Çumra,Fethiye Mh.,Çiftlik Evi,1+1,,1119,2100000
2241,Ankara,Ayaş,Hacıveli Mh.,Dağ Evi,4+2,,350,5500000
2242,İstanbul,Beylikdüzü,Cumhuriyet Mh.,Daire,3+1,4,135,1830000
2243,İzmir,Karabağlar,Karabağlar Mh.,Bina,1,,132,2650000
2244,İzmir,Menemen,İstiklal Mh.,Daire,3+1,7,135,5940000
2245,Konya,Meram,Erenkaya Mh.,Villa,1+1,,500,1300000
